First Name,Last Name,NRIC,Hire Date,Manager Name
Reggie,Simmons,*****068D,10-Apr-16,Liam Henderson
Emily,Hamilton,*****994A,15-Mar-16,Ronnie Perry
Olivia,Ford,*****538P,29-Jan-16,Ronnie Perry
Amelia,Myers,*****149K,17-Oct-16,Ronnie Perry
Connor,Hayes,*****252E,6-Apr-16,Callum Jenkins
Leon,Powell,*****744L,16-Jul-16,Jaxon Ross
Kai,Long,*****019K,28-Sep-16,Jaxon Ross
Aaron,Patterson,*****505Q,14-Jan-16,Jaxon Ross
Roman,Hughes,*****983P,8-Mar-16,Jaxon Ross
Austin,Flores,*****283S,20-Aug-16,Liam Henderson
Ellis,Washington,*****181N,30-Oct-16,Tommy Bailey
Jamie,Butler,*****855G,16-Feb-16,Liam Henderson
Isla,Graham,*****169A,9-Jul-16,Ronnie Perry
Seth,Foster,*****125T,14-Jun-16,Jackson Coleman
Carter,Gonzales,*****381O,26-Aug-16,Jackson Coleman
Felix,Bryant,*****303K,12-Dec-16,Jackson Coleman
Ibrahim,Alexander,*****480E,6-Feb-16,Jackson Coleman
Sonny,Russell,*****942X,14-Jul-16,Callum Jenkins
Kian,Griffin,*****448R,26-Oct-16,Callum Jenkins
Caleb,Diaz,*****092C,12-Feb-16,Callum Jenkins
